epoch:24 loss:3.204879 bleu1:0.5584 bleu2:0.3743 bleu3:0.2418 bleu4:0.1502
epoch:25 loss:2.114736 bleu1:0.6727 bleu2:0.5272 bleu3:0.4056 bleu4:0.2971
epoch:26 loss:1.807072 bleu1:0.7114 bleu2:0.5842 bleu3:0.4740 bleu4:0.3711
epoch:27 loss:1.636222 bleu1:0.7277 bleu2:0.6085 bleu3:0.5056 bleu4:0.4051
epoch:28 loss:1.525588 bleu1:0.7443 bleu2:0.6331 bleu3:0.5364 bleu4:0.4422
epoch:29 loss:1.446104 bleu1:0.7558 bleu2:0.6483 bleu3:0.5548 bleu4:0.4643
epoch:30 loss:1.386318 bleu1:0.7629 bleu2:0.6583 bleu3:0.5664 bleu4:0.4755
epoch:31 loss:1.338213 bleu1:0.7739 bleu2:0.6742 bleu3:0.5872 bleu4:0.5012
epoch:32 loss:1.445301 bleu1:0.7578 bleu2:0.6549 bleu3:0.5646 bleu4:0.4769
epoch:33 loss:1.411307 bleu1:0.7632 bleu2:0.6619 bleu3:0.5730 bleu4:0.4866
epoch:34 loss:1.384531 bleu1:0.7672 bleu2:0.6684 bleu3:0.5820 bleu4:0.4972
epoch:35 loss:1.359408 bleu1:0.7677 bleu2:0.6684 bleu3:0.5822 bleu4:0.4978
epoch:36 loss:1.339325 bleu1:0.7747 bleu2:0.6778 bleu3:0.5924 bleu4:0.5088
epoch:37 loss:1.319728 bleu1:0.7784 bleu2:0.6831 bleu3:0.5982 bleu4:0.5161
epoch:38 loss:1.303043 bleu1:0.7744 bleu2:0.6769 bleu3:0.5916 bleu4:0.5083
epoch:39 loss:1.406752 bleu1:0.7702 bleu2:0.6735 bleu3:0.5883 bleu4:0.5054
epoch:40 loss:1.392535 bleu1:0.7705 bleu2:0.6732 bleu3:0.5877 bleu4:0.5068
epoch:41 loss:1.379731 bleu1:0.7701 bleu2:0.6742 bleu3:0.5899 bleu4:0.5079
epoch:42 loss:1.365670 bleu1:0.7711 bleu2:0.6749 bleu3:0.5906 bleu4:0.5103
epoch:43 loss:1.352963 bleu1:0.7708 bleu2:0.6745 bleu3:0.5912 bleu4:0.5105
epoch:44 loss:1.343478 bleu1:0.7720 bleu2:0.6760 bleu3:0.5907 bleu4:0.5082
epoch:45 loss:1.330328 bleu1:0.7738 bleu2:0.6792 bleu3:0.5951 bleu4:0.5134
epoch:46 loss:1.423956 bleu1:0.7607 bleu2:0.6625 bleu3:0.5767 bleu4:0.4941
epoch:47 loss:1.411899 bleu1:0.7621 bleu2:0.6639 bleu3:0.5777 bleu4:0.4938
epoch:48 loss:1.397636 bleu1:0.7603 bleu2:0.6616 bleu3:0.5744 bleu4:0.4920
epoch:49 loss:1.381039 bleu1:0.7627 bleu2:0.6647 bleu3:0.5792 bleu4:0.4988
epoch:50 loss:1.367871 bleu1:0.7688 bleu2:0.6732 bleu3:0.5887 bleu4:0.5084
epoch:51 loss:1.355335 bleu1:0.7692 bleu2:0.6745 bleu3:0.5925 bleu4:0.5119
epoch:52 loss:1.345502 bleu1:0.7697 bleu2:0.6739 bleu3:0.5904 bleu4:0.5094
epoch:53 loss:1.425386 bleu1:0.7581 bleu2:0.6592 bleu3:0.5733 bleu4:0.4924
epoch:54 loss:1.415943 bleu1:0.7597 bleu2:0.6612 bleu3:0.5755 bleu4:0.4927
epoch:55 loss:1.406570 bleu1:0.7613 bleu2:0.6634 bleu3:0.5784 bleu4:0.4955
epoch:56 loss:1.397829 bleu1:0.7602 bleu2:0.6621 bleu3:0.5773 bleu4:0.4963
epoch:57 loss:1.386756 bleu1:0.7643 bleu2:0.6680 bleu3:0.5838 bleu4:0.5012
epoch:58 loss:1.378135 bleu1:0.7627 bleu2:0.6649 bleu3:0.5786 bleu4:0.4961
epoch:59 loss:1.369305 bleu1:0.7647 bleu2:0.6684 bleu3:0.5839 bleu4:0.5020
epoch:60 loss:1.359934 bleu1:0.7652 bleu2:0.6686 bleu3:0.5843 bleu4:0.5026
epoch:61 loss:1.350533 bleu1:0.7668 bleu2:0.6717 bleu3:0.5876 bleu4:0.5062
epoch:62 loss:1.343105 bleu1:0.7681 bleu2:0.6728 bleu3:0.5889 bleu4:0.5078
epoch:63 loss:1.335211 bleu1:0.7715 bleu2:0.6772 bleu3:0.5946 bleu4:0.5123
epoch:64 loss:1.327341 bleu1:0.7682 bleu2:0.6726 bleu3:0.5894 bleu4:0.5094
epoch:65 loss:1.319160 bleu1:0.7730 bleu2:0.6794 bleu3:0.5974 bleu4:0.5173
epoch:66 loss:1.311636 bleu1:0.7731 bleu2:0.6793 bleu3:0.5966 bleu4:0.5162
epoch:67 loss:1.303902 bleu1:0.7755 bleu2:0.6828 bleu3:0.6001 bleu4:0.5196
epoch:68 loss:1.294778 bleu1:0.7769 bleu2:0.6842 bleu3:0.6036 bleu4:0.5239
epoch:69 loss:1.285499 bleu1:0.7757 bleu2:0.6835 bleu3:0.6012 bleu4:0.5218
epoch:70 loss:1.275485 bleu1:0.7794 bleu2:0.6876 bleu3:0.6065 bleu4:0.5269
epoch:71 loss:1.267242 bleu1:0.7806 bleu2:0.6897 bleu3:0.6091 bleu4:0.5309
epoch:72 loss:1.259632 bleu1:0.7790 bleu2:0.6874 bleu3:0.6066 bleu4:0.5284
epoch:73 loss:1.253522 bleu1:0.7807 bleu2:0.6891 bleu3:0.6073 bleu4:0.5273
epoch:74 loss:1.247659 bleu1:0.7815 bleu2:0.6905 bleu3:0.6102 bleu4:0.5314
